yr_district_id,winner_votes,totalvotes,year,state,winner,winner_party,writein,district_id,winner_voteshare,total_dem_votes,total_rep_votes,total_dem_vote_share,total_rep_vote_share,L1_winner,L2_winner,L3_winner,L4_winner,L5_winner,dL1_winner,L6_winner,L7_winner,L8_winner,L9_winner,L10_winner,incumbent_in_race,incumbent_party,dL2_winner,dL3_winner,dL4_winner,dL5_winner,dL6_winner,dL7_winner,dL8_winner,dL9_winner,dL10_winner,incumbent_L5_races,incumbent_L4_races,incumbent_L3_races,incumbent_L2_races,incumbent_L10_races,rep_wins,dem_wins,rep_L5_wins,rep_L10_wins,dem_L10_wins,dem_L5_wins,rep_L4_wins,rep_L3_wins,rep_L2_wins,rep_L1_wins,dem_L4_wins,dem_L3_wins,dem_L2_wins,dem_L1_wins,rep_L5_voteshare,rep_L10_voteshare,rep_L4_voteshare,rep_L3_voteshare,rep_L2_voteshare,rep_L1_voteshare,dem_L10_voteshare,dem_L5_voteshare,dem_L4_voteshare,dem_L3_voteshare,dem_L2_voteshare,dem_L1_voteshare,target,top_dem_votes,top_dem_candidate,top_rep_votes,top_rep_candidate,dem_incumbent_in_race,rep_incumbent_in_race
2016-AL-02,134886,276584,2016,Alabama,MarthaRoby,republican,False,AL-02,0.48768547700000003,112089,134886,0.405262054,0.48768547700000003,MarthaRoby,MarthaRoby,MarthaRoby,BobbyBright,TerryEverett,1,TerryEverett,TerryEverett,TerryEverett,TerryEverett,TerryEverett,1,republican,1,1,0,0,0,0,0,0,0,3,3,3,2,3,1,0,4,9,1,1,4,3,2,1,0,0,0,0,0.560586965,0.630846799,0.576707108,0.599033027,0.580555013,0.67342455,0.356663768,0.416840645,0.395467113,0.364654266,0.36545135700000003,0.325640659,0,112089.0,NathanMathis,134886.0,MarthaRoby,0,1
2018-AL-02,138879,226230,2018,Alabama,MarthaRoby,republican,False,AL-02,0.6138840999999999,86931,138879,0.38425938200000004,0.6138840999999999,MarthaRoby,MarthaRoby,MarthaRoby,MarthaRoby,BobbyBright,1,TerryEverett,TerryEverett,TerryEverett,TerryEverett,TerryEverett,1,republican,1,1,1,0,0,0,0,0,0,4,4,3,2,4,1,0,5,9,1,0,4,3,2,1,0,0,0,0,0.5841425060000001,0.622941861,0.602745795,0.591664709,0.550784788,0.48768547700000003,0.364438414,0.39322556700000005,0.369555545,0.37172069799999996,0.39476071799999995,0.405262054,0,86931.0,TabithaIsner,138879.0,MarthaRoby,0,1
2012-AL-03,175306,273930,2012,Alabama,MikeRogers,republican,False,AL-03,0.639966415,98141,175306,0.35827036100000004,0.639966415,MikeRogers,MikeRogers,MikeRogers,MikeRogers,MikeRogers,1,BobRiley,BobRiley,BobRiley,GlenBrowder,GlenBrowder,1,republican,1,1,1,1,0,0,0,0,0,5,4,3,2,5,1,0,5,9,1,0,4,3,2,1,0,0,0,0,0.5961734639999999,0.595057834,0.592225789,0.591496846,0.617087766,0.594209116,0.400322069,0.398696846,0.40149738,0.40716162899999997,0.38152845,0.404786539,0,98141.0,JohnAndrewHarris,175306.0,MikeRogers,0,1
2014-AL-03,103558,156620,2014,Alabama,MikeRogers,republican,False,AL-03,0.661205465,52816,103558,0.337223854,0.661205465,MikeRogers,MikeRogers,MikeRogers,MikeRogers,MikeRogers,1,MikeRogers,BobRiley,BobRiley,BobRiley,GlenBrowder,1,republican,1,1,1,1,1,0,0,0,0,5,4,3,2,6,1,0,5,10,0,0,4,3,2,1,0,0,0,0,0.606021724,0.6247933929999999,0.608924001,0.631793665,0.65058594,0.639966415,0.37047276,0.38864267399999997,0.389677185,0.36676025100000004,0.34774710700000006,0.35827036100000004,0,52816.0,JesseSmith,103558.0,MikeRogers,0,1
2016-AL-03,192164,287104,2016,Alabama,MikeRogers,republican,False,AL-03,0.669318435,94549,192164,0.32931968899999997,0.669318435,MikeRogers,MikeRogers,MikeRogers,MikeRogers,MikeRogers,1,MikeRogers,MikeRogers,BobRiley,BobRiley,BobRiley,1,republican,1,1,1,1,1,1,0,0,0,5,4,3,2,7,1,0,5,10,0,0,4,3,2,1,0,0,0,0,0.6210028879999999,0.640283277,0.641174858,0.656830105,0.66526195,0.661205465,0.356069984,0.377605686,0.357400111,0.341604635,0.333271771,0.337223854,0,94549.0,JesseSmith,192164.0,MikeRogers,0,1
2018-AL-03,147770,231915,2018,Alabama,MikeRogers,republican,False,AL-03,0.637173102,83996,147770,0.36218442100000003,0.637173102,MikeRogers,MikeRogers,MikeRogers,MikeRogers,MikeRogers,1,MikeRogers,MikeRogers,MikeRogers,BobRiley,BobRiley,1,republican,1,1,1,1,1,1,1,0,0,5,4,3,2,8,1,0,5,10,0,0,4,3,2,1,0,0,0,0,0.640374507,0.6459405810000001,0.651915854,0.655899001,0.653245769,0.669318435,0.350422055,0.35835697299999997,0.34674958100000003,0.342909321,0.345752055,0.32931968899999997,0,83996.0,MalloryHagan,147770.0,MikeRogers,0,1
2012-AL-04,199071,269118,2012,Alabama,RobertBAderholt,republican,False,AL-04,0.7397164070000001,69706,199071,0.259016491,0.7397164070000001,RobertBAderholt,RobertBAderholt,RobertBAderholt,RobertBAderholt,RobertBAderholt,1,RobertBAderholt,RobertBAderholt,RobertBAderholt,TomBevill,TomBevill,1,republican,1,1,1,1,1,1,1,0,0,5,4,3,2,8,1,0,5,9,1,0,4,3,2,1,0,0,0,0,0.784926487,0.6623322460000001,0.7943258209999999,0.82516035,0.863945559,0.98817471,0.33347098199999997,0.211701972,0.20178823199999998,0.17003346800000002,0.129508245,0.0,0,69706.0,DanielHBoman,199071.0,RobertBAderholt,0,1
2014-AL-04,132831,134752,2014,Alabama,RobertBAderholt,republican,False,AL-04,0.985744182,0,132831,0.0,0.985744182,RobertBAderholt,RobertBAderholt,RobertBAderholt,RobertBAderholt,RobertBAderholt,1,RobertBAderholt,RobertBAderholt,RobertBAderholt,RobertBAderholt,TomBevill,1,republican,1,1,1,1,1,1,1,1,0,5,4,3,2,9,1,0,5,10,0,0,4,3,2,1,0,0,0,0,0.832609493,0.7609066640000001,0.865306308,0.9045450999999999,0.862730294,0.7397164070000001,0.234976813,0.161430586,0.127525101,0.08633883,0.129508245,0.259016491,0,,None,132831.0,RobertBAderholt,0,1
2016-AL-04,235925,239444,2016,Alabama,RobertBAderholt,republican,False,AL-04,0.985303453,0,235925,0.0,0.985303453,RobertBAderholt,RobertBAderholt,RobertBAderholt,RobertBAderholt,RobertBAderholt,1,RobertBAderholt,RobertBAderholt,RobertBAderholt,RobertBAderholt,RobertBAderholt,1,republican,1,1,1,1,1,1,1,1,1,5,4,3,2,10,1,0,5,10,0,0,4,3,2,1,0,0,0,0,0.889305737,0.807737052,0.9247346879999999,0.9035880140000001,0.985523818,0.985744182,0.186777781,0.102020081,0.064754123,0.08633883,0.0,0.0,0,,None,235925.0,RobertBAderholt,0,1
2018-AL-04,184255,230969,2018,Alabama,RobertBAderholt,republican,False,AL-04,0.79774775,46492,184255,0.20129108199999998,0.79774775,RobertBAderholt,RobertBAderholt,RobertBAderholt,RobertBAderholt,RobertBAderholt,1,RobertBAderholt,RobertBAderholt,RobertBAderholt,RobertBAderholt,RobertBAderholt,1,republican,1,1,1,1,1,1,1,1,1,5,4,3,2,10,1,0,5,10,0,0,4,3,2,1,0,0,0,0,0.8993373,0.831113665,0.8771279479999999,0.922931795,0.8915256020000001,0.985303453,0.163365537,0.092061515,0.11507689300000001,0.067097027,0.10064554099999999,0.0,0,46492.0,LeeAuman,184255.0,RobertBAderholt,0,1
2012-AL-05,189185,291293,2012,Alabama,MoBrooks,republican,False,AL-05,0.649466345,101772,189185,0.349380177,0.649466345,MoBrooks,ParkerGriffith,BudCramer,BudCramer,BudCramer,1,BudCramer,BudCramer,BudCramer,BudCramer,BudCramer,1,republican,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,2,2,8,3,2,2,2,1,2,1,0,0,0.39538365799999997,0.357710421,0.426937344,0.569249792,0.614169792,0.578873239,0.637640061,0.599429926,0.5668655220000001,0.428304179,0.38483623200000006,0.42029228700000004,0,101772.0,CharlieLHolley,189185.0,MoBrooks,0,1
2014-AL-05,115338,154974,2014,Alabama,MoBrooks,republican,False,AL-05,0.744240969,0,115338,0.0,0.744240969,MoBrooks,MoBrooks,ParkerGriffith,BudCramer,BudCramer,1,BudCramer,BudCramer,BudCramer,BudCramer,BudCramer,1,republican,1,0,0,0,0,0,0,0,0,2,2,2,2,2,1,0,3,3,7,2,3,3,2,1,1,0,0,0,0.490398069,0.38266015,0.612997586,0.657526851,0.696853657,0.649466345,0.587158254,0.45349241799999995,0.321228134,0.256557488,0.17469008800000002,0.349380177,0,,None,115338.0,MoBrooks,0,1
2016-AL-05,205647,308326,2016,Alabama,MoBrooks,republican,False,AL-05,0.6669791070000001,102234,205647,0.331577616,0.6669791070000001,MoBrooks,MoBrooks,MoBrooks,ParkerGriffith,BudCramer,1,BudCramer,BudCramer,BudCramer,BudCramer,BudCramer,1,republican,1,1,0,0,0,0,0,0,0,3,3,3,2,3,1,0,4,4,6,1,4,3,2,1,0,0,0,0,0.623793891,0.406261835,0.659889915,0.6868954740000001,0.705610038,0.744240969,0.564639212,0.32329803100000004,0.27531252,0.226985931,0.165788808,0.0,0,102234.0,WillBoydJr,205647.0,MoBrooks,0,1
2018-AL-05,159063,260673,2018,Alabama,MoBrooks,republican,False,AL-05,0.610201287,0,159063,0.0,0.610201287,MoBrooks,MoBrooks,MoBrooks,MoBrooks,ParkerGriffith,1,BudCramer,BudCramer,BudCramer,BudCramer,BudCramer,1,republican,1,1,1,0,0,0,0,0,0,4,4,3,2,4,1,0,5,5,5,0,4,3,2,1,0,0,0,0,0.649952189,0.437029237,0.667721927,0.673807121,0.6385901970000001,0.6669791070000001,0.49496170899999997,0.22025001600000002,0.17023944800000002,0.110525872,0.165788808,0.331577616,0,,None,159063.0,MoBrooks,0,1
2012-AL-06,219262,308102,2012,Alabama,SpencerBachus,republican,False,AL-06,0.711653933,88267,219262,0.286486294,0.711653933,SpencerBachus,SpencerBachus,SpencerBachus,SpencerBachus,SpencerBachus,1,SpencerBachus,SpencerBachus,SpencerBachus,SpencerBachus,SpencerBachus,1,republican,1,1,1,1,1,1,1,1,1,5,4,3,2,10,1,0,5,10,0,0,4,3,2,1,0,0,0,0,0.928269942,0.8860979720000001,0.9133444079999999,0.890043496,0.846092724,0.980531514,0.10500109199999999,0.057297259,0.07162157400000001,0.09549543099999999,0.143243147,0.0,0,88267.0,PennyHBailey,219262.0,SpencerBachus,0,1
2014-AL-06,135945,178449,2014,Alabama,GaryPalmer,republican,False,AL-06,0.7618143,42291,135945,0.236992082,0.7618143,SpencerBachus,SpencerBachus,SpencerBachus,SpencerBachus,SpencerBachus,0,SpencerBachus,SpencerBachus,SpencerBachus,SpencerBachus,SpencerBachus,0,republican,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,10,0,0,4,3,2,1,0,0,0,0,0.883038387,0.883263287,0.857986197,0.817999916,0.736734117,0.711653933,0.10779031,0.104695675,0.130869594,0.17449279199999998,0.261739188,0.286486294,0,42291.0,MarkLester,135945.0,GaryPalmer,0,0
2016-AL-06,245313,329306,2016,Alabama,GaryPalmer,republican,False,AL-06,0.744939357,83709,245313,0.254198223,0.744939357,GaryPalmer,SpencerBachus,SpencerBachus,SpencerBachus,SpencerBachus,1,SpencerBachus,SpencerBachus,SpencerBachus,SpencerBachus,SpencerBachus,1,republican,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,5,10,0,0,4,3,2,1,0,0,0,0,0.8353768290000001,0.885923778,0.799734776,0.739469197,0.753376829,0.7618143,0.105904054,0.15553532,0.19441915,0.259225533,0.24559515199999998,0.236992082,0,83709.0,DavidJPutnam,245313.0,GaryPalmer,0,1
2018-AL-06,192542,278328,2018,Alabama,GaryPalmer,republican,False,AL-06,0.69178092,85644,192542,0.30770889,0.69178092,GaryPalmer,GaryPalmer,SpencerBachus,SpencerBachus,SpencerBachus,1,SpencerBachus,SpencerBachus,SpencerBachus,SpencerBachus,SpencerBachus,1,republican,1,0,0,0,0,0,0,0,0,2,2,2,2,2,1,0,5,10,0,0,4,3,2,1,0,0,0,0,0.778144005,0.8833143370000001,0.727547128,0.7328448590000001,0.7183601390000001,0.744939357,0.108538549,0.217077098,0.271346372,0.266299732,0.280953556,0.254198223,0,85644.0,DannerKline,192542.0,GaryPalmer,0,1
2012-AL-07,232520,306558,2012,Alabama,TerriASewell,democrat,False,AL-07,0.758486159,232520,73835,0.758486159,0.24085165,TerriASewell,ArturDavis,ArturDavis,ArturDavis,ArturDavis,1,EarlFHilliard,EarlFHilliard,EarlFHilliard,EarlFHilliard,EarlFHilliard,1,democrat,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,10,5,0,0,0,0,4,3,2,1,0.153045823,0.160774349,0.128950858,0.171934477,0.257901715,0.274951781,0.8340070340000001,0.841840777,0.864873016,0.823021873,0.741401575,0.724316992,1,232520.0,TerriASewell,73835.0,DonChamberlain,1,0
2014-AL-07,133687,135899,2014,Alabama,TerriASewell,democrat,False,AL-07,0.983723206,133687,0,0.983723206,0.0,TerriASewell,TerriASewell,ArturDavis,ArturDavis,ArturDavis,1,ArturDavis,EarlFHilliard,EarlFHilliard,EarlFHilliard,EarlFHilliard,1,democrat,1,0,0,0,0,0,0,0,0,2,2,2,2,2,0,1,0,0,10,5,0,0,0,0,4,3,2,1,0.103160686,0.13773657,0.128950858,0.171934477,0.120425825,0.24085165,0.855518379,0.8886430540000001,0.8631972059999999,0.8221754520000001,0.871104682,0.758486159,1,133687.0,TerriASewell,,None,1,0
2016-AL-07,229330,233028,2016,Alabama,TerriASewell,democrat,False,AL-07,0.984130662,229330,0,0.984130662,0.0,TerriASewell,TerriASewell,TerriASewell,ArturDavis,ArturDavis,1,ArturDavis,ArturDavis,EarlFHilliard,EarlFHilliard,EarlFHilliard,1,democrat,1,1,0,0,0,0,0,0,0,3,3,3,2,3,0,1,0,0,10,5,0,0,0,0,4,3,2,1,0.103160686,0.108951949,0.128950858,0.080283883,0.0,0.0,0.882800913,0.887383897,0.862664255,0.9087800090000001,0.9839269340000001,0.983723206,1,229330.0,TerriASewell,,None,1,0
2018-AL-07,185010,189163,2018,Alabama,TerriASewell,democrat,False,AL-07,0.978045389,185010,0,0.978045389,0.0,TerriASewell,TerriASewell,TerriASewell,TerriASewell,ArturDavis,1,ArturDavis,ArturDavis,ArturDavis,EarlFHilliard,EarlFHilliard,1,democrat,1,1,1,0,0,0,0,0,0,4,4,3,2,4,0,1,0,0,10,5,0,0,0,0,4,3,2,1,0.103160686,0.108951949,0.060212913,6.01e-16,0.0,0.0,0.8825812959999999,0.885740482,0.926096354,0.981966419,0.981088025,0.984130662,1,185010.0,TerriASewell,,None,1,0
2012-AR-01,138800,246843,2012,Arkansas,RickCrawford,republican,False,AR-01,0.562300734,101616,145227,0.411662474,0.588337526,RickCrawford,MarionBerry,MarionBerry,MarionBerry,MarionBerry,1,MarionBerry,MarionBerry,MarionBerry,BlancheMLambert,BlancheMLambert,1,republican,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,2,2,8,3,2,2,2,1,2,1,0,0,0.34957593600000003,0.33861633799999996,0.35338926200000004,0.368734202,0.5531013029999999,0.517865079,0.65826835,0.6501963070000001,0.646326042,0.630886203,0.446329304,0.48099613399999996,0,96601.0,ScottEllington,138800.0,RickCrawford,0,1
2014-AR-01,124139,196256,2014,Arkansas,RickCrawford,republican,False,AR-01,0.632536075,63555,132701,0.323837233,0.676162767,RickCrawford,RickCrawford,MarionBerry,MarionBerry,MarionBerry,1,MarionBerry,MarionBerry,MarionBerry,MarionBerry,BlancheMLambert,1,republican,1,0,0,0,0,0,0,0,0,2,2,2,2,2,1,0,3,3,7,2,3,3,2,1,1,0,0,0,0.417943963,0.35963521600000004,0.445591343,0.5941217910000001,0.632250147,0.588337526,0.637249472,0.58182828,0.55412396,0.405498614,0.36774985299999996,0.411662474,0,63555.0,JackieMcPherson,124139.0,RickCrawford,0,1
2016-AR-01,183866,241047,2016,Arkansas,RickCrawford,republican,False,AR-01,0.762780703,0,241047,0.0,1.0,RickCrawford,RickCrawford,RickCrawford,MarionBerry,MarionBerry,1,MarionBerry,MarionBerry,MarionBerry,MarionBerry,MarionBerry,1,republican,1,1,0,0,0,0,0,0,0,3,3,3,2,3,1,0,4,4,6,1,4,3,2,1,0,0,0,0,0.556473074,0.415295281,0.6955913429999999,0.7548334309999999,0.8380813840000001,0.676162767,0.584464313,0.44329916799999997,0.30412396,0.24516656899999997,0.161918616,0.323837233,0,,None,183866.0,RickCrawford,0,1
2018-AR-01,138757,201245,2018,Arkansas,RickCrawford,republican,False,AR-01,0.689492907,57907,143338,0.287743795,0.712256205,RickCrawford,RickCrawford,RickCrawford,RickCrawford,MarionBerry,1,MarionBerry,MarionBerry,MarionBerry,MarionBerry,MarionBerry,1,republican,1,1,1,0,0,0,0,0,0,4,4,3,2,4,1,0,5,5,5,0,4,3,2,1,0,0,0,0,0.698924315,0.486520901,0.744189125,0.796139657,0.856128103,1.0,0.513238692,0.300847927,0.255810876,0.203860343,0.143871897,0.0,0,57907.0,ChintanDesai,138757.0,RickCrawford,0,1
2012-AR-02,158175,286598,2012,Arkansas,TimGriffin,republican,False,AR-02,0.551905456,121722,164876,0.42471336200000004,0.575286638,TimGriffin,VicSnyder,VicSnyder,VicSnyder,VicSnyder,1,VicSnyder,VicSnyder,VicSnyder,RayThornton,RayThornton,1,republican,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,2,2,8,3,2,2,2,1,2,1,0,0,0.39346723899999997,0.371494946,0.387260877,0.38477437299999995,0.57716156,0.579036481,0.619063281,0.601805674,0.606833881,0.60735197,0.41222673200000004,0.39974010200000004,0,113156.0,HerbRule,158175.0,TimGriffin,0,1
2014-AR-02,123073,237330,2014,Arkansas,FrenchHill,republican,False,AR-02,0.518573295,103477,133663,0.436004719,0.5631947079999999,TimGriffin,TimGriffin,VicSnyder,VicSnyder,VicSnyder,0,VicSnyder,VicSnyder,VicSnyder,VicSnyder,RayThornton,0,republican,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,7,2,3,3,2,1,1,0,0,0,0.422447643,0.385196527,0.429379457,0.572505942,0.5692406729999999,0.575286638,0.605281643,0.5726680479999999,0.564515157,0.420152728,0.43035904,0.42471336200000004,0,103477.0,PatrickHenryHays,123073.0,FrenchHill,0,0
2016-AR-02,176472,302464,2016,Arkansas,FrenchHill,republican,False,AR-02,0.583447948,111347,190814,0.36813306700000004,0.630865161,FrenchHill,TimGriffin,TimGriffin,VicSnyder,VicSnyder,1,VicSnyder,VicSnyder,VicSnyder,VicSnyder,VicSnyder,1,republican,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,4,4,6,1,4,3,2,1,0,0,0,0,0.46967659799999995,0.40062887700000005,0.587095747,0.589782169,0.597029935,0.5631947079999999,0.589749116,0.525238739,0.40714781299999997,0.409617049,0.402068893,0.436004719,0,111347.0,DianneCurry,176472.0,FrenchHill,0,1
2018-AR-02,132125,253453,2018,Arkansas,FrenchHill,republican,False,AR-02,0.521299807,116135,137318,0.458211187,0.5417888129999999,FrenchHill,FrenchHill,TimGriffin,TimGriffin,VicSnyder,1,VicSnyder,VicSnyder,VicSnyder,VicSnyder,VicSnyder,1,republican,1,0,0,0,0,0,0,0,0,2,2,2,2,2,1,0,5,5,5,0,4,3,2,1,0,0,0,0,0.57803436,0.412780497,0.57778383,0.578616227,0.5863269870000001,0.630865161,0.577597496,0.417360487,0.42176558399999997,0.420782991,0.41317212700000006,0.36813306700000004,0,116135.0,ClarkeTucker,132125.0,FrenchHill,0,1
2012-AR-03,186467,245660,2012,Arkansas,SteveWomack,republican,False,AR-03,0.759045022,39318,206342,0.160050476,0.8399495240000001,SteveWomack,JohnBoozman,JohnBoozman,JohnBoozman,JohnBoozman,1,AsaHutchinson,AsaHutchinson,AsaHutchinson,YTimHutchinson,YTimHutchinson,1,republican,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,5,10,0,0,4,3,2,1,0,0,0,0,0.7130066629999999,0.759557906,0.7429687979999999,0.783185103,0.78215014,0.724350755,0.215034913,0.28181171,0.257031202,0.216814897,0.21784986,0.275649245,0,39318.0,RebekahJKennedy,186467.0,SteveWomack,0,1
