variable,table,label
B25075_024E  , VALUE                          ," $750,000 to $999,999                  "
B25075_025E  , VALUE                          ," $1,000,000 to $1,499,999              "
B25027_001E  , MORTGAGE STATUS BY AGE OF HOUS , Owner-occupied housing units                                         
B25027_002E  , MORTGAGE STATUS BY AGE OF HOUS , Housing units with a mortgage         
B25027_010E  , MORTGAGE STATUS BY AGE OF HOUS , Housing units without a mortgage      
B25088_001E  , MEDIAN SELECTED MONTHLY OWNER  , Median selected monthly owner costs (dollars)  
B25063_001E  , GROSS RENT                     , renter-occupied housing units                                         
B25064_001E  , MEDIAN GROSS RENT (DOLLARS)    , Median gross rent                              
B19001_001E  , HOUSEHOLD INCOME IN THE PAST 1 , Total Households                                         
B19001_002E  , HOUSEHOLD INCOME IN THE PAST 1 ," Less than $10,000                     "
B19001_003E  , HOUSEHOLD INCOME IN THE PAST 1 ," $10,000 to $14,999                    "
B19001_004E  , HOUSEHOLD INCOME IN THE PAST 1 ," $15,000 to $19,999                    "
B19001_005E  , HOUSEHOLD INCOME IN THE PAST 1 ," $20,000 to $24,999                    "
B19001_006E  , HOUSEHOLD INCOME IN THE PAST 1 ," $25,000 to $29,999                    "
B19001_007E  , HOUSEHOLD INCOME IN THE PAST 1 ," $30,000 to $34,999                    "
B19001_008E  , HOUSEHOLD INCOME IN THE PAST 1 ," $35,000 to $39,999                    "
B19001_009E  , HOUSEHOLD INCOME IN THE PAST 1 ," $40,000 to $44,999                    "
B19001_010E  , HOUSEHOLD INCOME IN THE PAST 1 ," $45,000 to $49,999                    "
B19001_011E  , HOUSEHOLD INCOME IN THE PAST 1 ," $50,000 to $59,999                    "
B19001_012E  , HOUSEHOLD INCOME IN THE PAST 1 ," $60,000 to $74,999                    "
B19001_013E  , HOUSEHOLD INCOME IN THE PAST 1 ," $75,000 to $99,999                    "
B19001_014E  , HOUSEHOLD INCOME IN THE PAST 1 ," $100,000 to $124,999                  "
B19001_015E  , HOUSEHOLD INCOME IN THE PAST 1 ," $125,000 to $149,999                  "
B19001_016E  , HOUSEHOLD INCOME IN THE PAST 1 ," $150,000 to $199,999                  "
B19001_017E  , HOUSEHOLD INCOME IN THE PAST 1 ," $200,000 or more                      "
B19013_001E  , MEDIAN HOUSEHOLD INCOME IN THE , Median household income in the past 12 months   
B19081_001E  , MEAN HOUSEHOLD INCOME OF QUINT , Quintile Means Lowest Quintile              
B19081_002E  , MEAN HOUSEHOLD INCOME OF QUINT , Quintile Means Second Quintile              
B19081_003E  , MEAN HOUSEHOLD INCOME OF QUINT , Quintile Means Third Quintile               
B19081_004E  , MEAN HOUSEHOLD INCOME OF QUINT , Quintile Means Fourth Quintile              
B19081_005E  , MEAN HOUSEHOLD INCOME OF QUINT , Quintile Means Highest Quintile             
B19081_006E  , MEAN HOUSEHOLD INCOME OF QUINT , Top 5 Percent                                 
B17001_002E  , POVERTY STATUS IN THE PAST 12  , Income in the past 12 months below    
B14001_002E  , SCHOOL ENROLLMENT BY LEVEL OF  , Enrolled in school                    
B14001_008E  , SCHOOL ENROLLMENT BY LEVEL OF  ," Enrolled in school Enrolled in college, undergrad   "
B14001_009E  , SCHOOL ENROLLMENT BY LEVEL OF  , Enrolled in school Graduate or professional school   
B06009_001E  , PLACE OF BIRTH BY EDUCATIONAL  , population 25 and over                                          
B06009_002E  , PLACE OF BIRTH BY EDUCATIONAL  , Less than high school graduate        
B06009_003E  , PLACE OF BIRTH BY EDUCATIONAL  , High school graduate (includes equi   
B06009_004E  , PLACE OF BIRTH BY EDUCATIONAL  , Some college or associate's degree    
B06009_005E  , PLACE OF BIRTH BY EDUCATIONAL  , Bachelor's degree                     
B06009_006E  , PLACE OF BIRTH BY EDUCATIONAL  , Graduate or professional degree      
B15002_001E,SEX BY EDUCATIONAL ATTAINMENT,Population 25 and over
B15002_015E,SEX BY EDUCATIONAL ATTAINMENT,Male Bachelor's degree
B15002_016E,SEX BY EDUCATIONAL ATTAINMENT,Male Master's degree
B15002_017E,SEX BY EDUCATIONAL ATTAINMENT,Male Professional school degree
B15002_018E,SEX BY EDUCATIONAL ATTAINMENT,Male Doctorate degree
B15002_032E,SEX BY EDUCATIONAL ATTAINMENT,Female Bachelor's degree
B15002_033E,SEX BY EDUCATIONAL ATTAINMENT,Female Master's degree
B15002_034E,SEX BY EDUCATIONAL ATTAINMENT,Female Professional school degree
B15002_035E,SEX BY EDUCATIONAL ATTAINMENT,Female Doctorate degree
